READ SERR 1 2
@./plot/relionCp-nk_pl-delchi.pco
!
5.13999987 1.99999809E-2 -0.716977835 1
5.17999983 1.99999809E-2 -1.39662254 1
5.21999979 1.99999809E-2 1.79919899 1
5.26000023 2.00002193E-2 -0.43265295 1
5.30000019 1.99999809E-2 0.862668335 1
5.34000015 1.99999809E-2 -0.369425595 1
5.38000011 1.99999809E-2 -0.118849769 1
5.42000008 1.99999809E-2 0.123192348 1
5.46000004 1.99999809E-2 0.803678095 1
5.5 1.99999809E-2 0.202242419 1
5.53999996 1.99999809E-2 0.385368854 1
5.57999992 1.99999809E-2 -0.527747154 1
5.61999989 1.99999809E-2 -1.96265936 1
5.65999985 1.99999809E-2 -1.21492434 1
5.69999981 1.99999809E-2 -0.57528013 1
5.73999977 2.00002193E-2 -0.755786777 1
5.78000021 1.99999809E-2 -0.977673769 1
5.82000017 1.99999809E-2 -0.321427763 1
5.86000013 1.99999809E-2 -0.215334594 1
5.9000001 1.99999809E-2 -7.51660839E-2 1
5.94000006 1.99999809E-2 0.176500797 1
5.98000002 1.99999809E-2 0.389372438 1
6.01999998 1.99999809E-2 -0.24647589 1
6.05999994 1.99999809E-2 -1.03609812 1
6.0999999 1.99999809E-2 0.466558009 1
6.13999987 1.99999809E-2 0.748361886 1
6.17999983 1.99999809E-2 -0.157489315 1
6.21999979 1.99999809E-2 -1.47355616 1
6.26000023 2.00002193E-2 -1.00730169 1
6.30000019 1.99999809E-2 0.383616656 1
6.34000015 1.99999809E-2 -0.276624441 1
6.38000011 1.99999809E-2 0.273659468 1
6.42000008 1.99999809E-2 0.687254071 1
6.46000004 1.99999809E-2 -0.867860198 1
6.5 1.99999809E-2 -0.51575321 1
6.53999996 1.99999809E-2 -0.381002337 1
6.57999992 1.99999809E-2 0.517025888 1
6.61999989 1.99999809E-2 0.994830787 1
6.65999985 1.99999809E-2 -1.09086597 1
6.69999981 1.99999809E-2 -1.42116964 1
6.73999977 2.00002193E-2 3.08990525E-3 1
6.78000021 1.99999809E-2 0.430111557 1
6.82000017 1.99999809E-2 0.587478936 1
6.86000013 1.99999809E-2 0.852697492 1
6.9000001 1.99999809E-2 -0.765442789 1
6.94000006 1.99999809E-2 0.168707326 1
6.98000002 1.99999809E-2 1.55523014 1
7.01999998 1.99999809E-2 0.910583258 1
7.05999994 1.99999809E-2 0.955146015 1
7.0999999 1.99999809E-2 0.710946739 1
7.13999987 1.99999809E-2 -0.66304636 1
7.17999983 1.99999809E-2 0.974056184 1
7.21999979 1.99999809E-2 -0.791023374 1
7.26000023 2.00002193E-2 -5.42751141E-2 1
7.30000019 1.99999809E-2 0.733245432 1
7.34000015 1.99999809E-2 1.17714675E-2 1
7.38000011 1.99999809E-2 -0.292493194 1
7.42000008 1.99999809E-2 0.873699009 1
7.46000004 1.99999809E-2 -0.295158803 1
7.5 1.99999809E-2 1.07510316 1
7.53999996 1.99999809E-2 -0.3205567 1
7.57999992 1.99999809E-2 1.19718814 1
7.61999989 1.99999809E-2 0.215175897 1
7.65999985 1.99999809E-2 -1.77606261 1
7.69999981 1.99999809E-2 1.2926991 1
7.73999977 2.00002193E-2 0.246795744 1
7.78000021 1.99999809E-2 -0.740386844 1
7.82000017 1.99999809E-2 -0.994202316 1
7.86000013 1.99999809E-2 0.708966672 1
7.9000001 1.99999809E-2 -1.25214207 1
7.94000006 1.99999809E-2 2.56611649E-2 1
7.98000002 1.99999809E-2 0.320403367 1
8.02000046 1.99999809E-2 0.280496389 1
8.05999947 1.99999809E-2 0.134587124 1
8.10000038 1.99999809E-2 0.492750853 1
8.13999939 1.99999809E-2 1.05961955 1
8.18000031 1.99999809E-2 0.319258183 1
